date,homeTeam,awayTeam,homeGoals,awayGoals,winner
2024-08-25 12:30:00+00:00,Heracles Almelo,Willem II Tilburg,1,1,DRAW
2024-08-25 14:45:00+00:00,Go Ahead Eagles,RKC Waalwijk,2,0,HOME_TEAM
2024-08-30 18:00:00+00:00,RKC Waalwijk,AZ,0,3,AWAY_TEAM
2024-08-31 14:30:00+00:00,Almere City FC,FC Groningen,1,1,DRAW
2024-08-31 16:45:00+00:00,Fortuna Sittard,NEC,0,3,AWAY_TEAM
2024-08-31 18:00:00+00:00,SC Heerenveen,NAC Breda,4,0,HOME_TEAM
2024-08-31 19:00:00+00:00,Willem II Tilburg,Sparta Rotterdam,1,2,AWAY_TEAM
2024-09-01 10:15:00+00:00,FC Utrecht,FC Twente '65,2,1,HOME_TEAM
2024-09-01 12:30:00+00:00,PEC Zwolle,Heracles Almelo,3,0,HOME_TEAM
2024-09-01 14:45:00+00:00,PSV,Go Ahead Eagles,3,0,HOME_TEAM
2024-09-14 14:30:00+00:00,PSV,NEC,2,0,HOME_TEAM
2024-09-14 14:30:00+00:00,FC Twente '65,PEC Zwolle,1,1,DRAW
2024-09-14 16:45:00+00:00,FC Groningen,Feyenoord Rotterdam,2,2,DRAW
2024-09-14 18:00:00+00:00,NAC Breda,Fortuna Sittard,1,0,HOME_TEAM
2024-09-14 19:00:00+00:00,AZ,SC Heerenveen,9,1,HOME_TEAM
2024-09-15 10:15:00+00:00,Sparta Rotterdam,Go Ahead Eagles,1,2,AWAY_TEAM
2024-09-15 12:30:00+00:00,Willem II Tilburg,RKC Waalwijk,3,0,HOME_TEAM
2024-09-15 14:45:00+00:00,Heracles Almelo,Almere City FC,0,0,DRAW
2024-09-17 18:00:00+00:00,FC Twente '65,SC Heerenveen,2,0,HOME_TEAM
2024-09-18 18:00:00+00:00,AFC Ajax,Fortuna Sittard,5,0,HOME_TEAM
2024-09-20 18:00:00+00:00,PEC Zwolle,AZ,1,2,AWAY_TEAM
2024-09-21 14:30:00+00:00,FC Utrecht,Willem II Tilburg,3,2,HOME_TEAM
2024-09-21 16:45:00+00:00,RKC Waalwijk,Sparta Rotterdam,1,2,AWAY_TEAM
2024-09-21 18:00:00+00:00,Go Ahead Eagles,AFC Ajax,1,1,DRAW
2024-09-21 19:00:00+00:00,NEC,Heracles Almelo,1,2,AWAY_TEAM
2024-09-22 10:15:00+00:00,SC Heerenveen,FC Groningen,2,1,HOME_TEAM
2024-09-22 12:30:00+00:00,Almere City FC,FC Twente '65,0,5,AWAY_TEAM
2024-09-22 12:30:00+00:00,Feyenoord Rotterdam,NAC Breda,2,0,HOME_TEAM
2024-09-22 14:45:00+00:00,Fortuna Sittard,PSV,1,3,AWAY_TEAM
2024-09-27 18:00:00+00:00,Heracles Almelo,SC Heerenveen,2,1,HOME_TEAM
2024-09-28 14:30:00+00:00,Willem II Tilburg,PSV,0,2,AWAY_TEAM
2024-09-28 16:45:00+00:00,NEC,Feyenoord Rotterdam,1,1,DRAW
2024-09-28 19:00:00+00:00,Sparta Rotterdam,Fortuna Sittard,1,1,DRAW
2024-09-29 10:15:00+00:00,PEC Zwolle,Almere City FC,1,0,HOME_TEAM
2024-09-29 12:30:00+00:00,FC Twente '65,NAC Breda,1,0,HOME_TEAM
2024-09-29 12:30:00+00:00,FC Groningen,Go Ahead Eagles,0,1,AWAY_TEAM
2024-09-29 14:45:00+00:00,RKC Waalwijk,AFC Ajax,0,2,AWAY_TEAM
2024-09-29 18:00:00+00:00,AZ,FC Utrecht,1,2,AWAY_TEAM
2024-10-04 18:00:00+00:00,Almere City FC,Willem II Tilburg,0,1,AWAY_TEAM
2024-10-05 16:45:00+00:00,NAC Breda,NEC,1,0,HOME_TEAM
2024-10-05 18:00:00+00:00,PSV,Sparta Rotterdam,2,1,HOME_TEAM
